R1;CUPS;Número (ID5);Póliza;Autoconsumo;CAU;Es servicios auxiliares;Coordenada X;Coordenada Y;Coordenada Z;Nudo;Provincia;Municipio;Parroquia/población;CT AA conectividad;Línea;Tramo;Fase;Tensión alimentación (kV);Tipo instalación (conexión);Pot. contratada (kW);Pot. máxima;Potencia instalada (adscrita) (kW);Tarifa;Tipo equipo medida;Fecha de instalación equipo de medida;Código CNAE;Casa cerrada;Fecha alta contrato;Fecha baja contrato;Observaciones;Coordenada X Z29;Coordenada Y Z29;Coordenada X Z31;Coordenada Y Z31;Sustituye a;Sustituido por;Inspección;CT AA manual;Excluido conectividad;Digitalizar;infra_id
R1-112;ES0157000040501408GN0F;KAM0027594459;40501408;;;;335761,355;4082817,04;424,427;0484282129LB368770361;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000010;;0,23;Subterránea;3,45;;;2.0TD;SMT;;9820;0;19/09/2022 11:05;;;870575,855;4089307,513;-199558,004;4110067,345;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501525DZ0F;KAM0027594684;40501525;;;;335609,356;4082915,05;415;0484454722LB368778926;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000176;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870417,781;4089395,895;-199704,343;4110175,368;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600386YK0F;KAM0027594680;40600386;;;;335596,356;4082870,05;425;0484468326LB368774849;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000461;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870407,622;4089350,105;-199720,248;4110131,027;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600389FR0F;KAM0027612727;40600389;;;;335610,356;4082866,05;426;0484452538LB368774513;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000464;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870421,865;4089346,989;-199706,45;4110126,123;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600392FG;KAM0027612129;40600392;;;;335649,355;4082844,04;432;0484408323LB368772599;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000442;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870462,225;4089327,447;-199668,704;4110101,556;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600394FY;14698010;40600394;;;;335635,355;4082849,05;433;0484424133LB368773025;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000445;;0,23;Fachada;2,3;;;;MEC;;9609;0;05/10/2015 12:17;;;870447,918;4089331,573;-199682,438;4110107,473;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600398FX;KAM0019150244;40600398;;;;335685,355;4082818,04;438;0484367386LB368770319;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000451;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870499,839;4089303,729;-199634,222;4110073,174;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600399FB0F;KAM0027613155;40600399;;;;335691,355;4082816,04;438;0484360613LB368770149;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000452;;0,23;Fachada;5,75;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870505,961;4089302,108;-199628,327;4110070,786;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600400FN0F;26733166;40600400;;;;335694,355;4082812,04;438;0484357162LB368769794;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000453;;0,23;Fachada;2,3;;;;MEC;;9820;0;23/09/2009 22:49;;;870509,211;4089298,299;-199625,57;4110066,58;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600401FJ0F;KAM0026733751;40600401;;;;335699,355;4082808,04;440;0484351468LB368769442;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000454;;0,23;Fachada;4,6;;;2.0TD;SMT;;9820;0;25/01/2022 19:57;;;870514,46;4089294,616;-199620,805;4110062,248;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600402FZ;KAM0027594471;40600402;;;;335707,355;4082816,04;436;0484342669LB368770177;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000435;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870521,951;4089303,115;-199612,268;4110069,77;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600407FL0F;KAM0019248352;40600407;;;;335590,356;4082879,05;425;0484475250LB368775650;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000469;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870401,059;4089358,722;-199725,699;4110140,441;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600408FC0F;KAM0026733912;40600408;;;;335587,356;4082880,05;425;0484478637LB368775734;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000470;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870397,998;4089359,532;-199728,646;4110141,635;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040600948PP;KAM0019878306;40600948;;;;335680,355;4082822,04;438;0484373080LB368770670;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000450;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870494,59;4089307,412;-199638,986;4110077,506;;;;CT28 DEPOSITO AGUA;;;
